product_id,product_name,product_category,avg_price,sessions_viewed,sessions_added,sessions_removed,sessions_checkout,orders,units_sold,revenue,view_to_cart_rate,cart_to_order_rate,view_to_order_rate,cart_removal_rate,revenue_rank,revenue_rank_in_category,revenue_share,cumulative_revenue_share
GGOE800204,Google Olive Pencil Pack,Stationery,2.22,391,39,3,12,5,6.0,13.32,0.0997,0.1282,0.0128,0.0769,212,17,0.0,1.0
GGOE800216,Google Charcoal Sticker Sheet,Stationery,4.1,56,4,0,1,1,1.0,4.1,0.0714,0.25,0.0179,0.0,213,18,0.0,1.0
GGOE800203,Google White Pencil Pack,Stationery,4.3,29,4,0,1,0,0.0,0.0,0.1379,0.0,0.0,0.0,214,19,0.0,1.0
GGOE800212,Google Navy Journal,Stationery,5.2,107,9,1,1,0,0.0,0.0,0.0841,0.0,0.0,0.1111,214,19,0.0,1.0
GGOE700194,Google Olive Bucket Hat,Headgear,15.53,3928,397,34,139,76,94.0,1459.82,0.1011,0.1914,0.0193,0.0856,46,1,0.0047,0.8027
GGOE700192,Google Navy Bucket Hat,Headgear,14.82,1004,91,8,39,20,24.0,355.68,0.0906,0.2198,0.0199,0.0879,106,2,0.0011,0.9515
GGOE700184,Google Olive Cap,Headgear,29.76,416,42,3,17,10,10.0,297.6,0.101,0.2381,0.024,0.0714,114,3,0.001,0.9598
GGOE700195,Google Black Visor,Headgear,16.12,907,78,6,29,15,18.0,290.16,0.086,0.1923,0.0165,0.0769,117,4,0.0009,0.9627
GGOE700199,Google Olive Visor,Headgear,19.14,292,29,2,12,10,10.0,191.4,0.0993,0.3448,0.0342,0.069,143,5,0.0006,0.9821
GGOE700186,Google Charcoal Beanie,Headgear,20.59,654,57,9,16,7,9.0,185.31,0.0872,0.1228,0.0107,0.1579,144,6,0.0006,0.9827
GGOE700190,Google Black Bucket Hat,Headgear,33.55,89,10,0,5,4,5.0,167.75,0.1124,0.4,0.0449,0.0,150,7,0.0005,0.9861
GGOE700193,Google White Bucket Hat,Headgear,31.12,54,7,0,3,2,3.0,93.36,0.1296,0.2857,0.037,0.0,169,8,0.0003,0.9935
GGOE700181,Google Charcoal Cap,Headgear,32.55,210,18,0,3,2,2.0,65.1,0.0857,0.1111,0.0095,0.0,180,9,0.0002,0.9961
GGOE700180,Google Black Cap,Headgear,32.49,105,7,0,3,2,2.0,64.98,0.0667,0.2857,0.019,0.0,181,10,0.0002,0.9964
GGOE700188,Google White Beanie,Headgear,29.18,241,15,1,4,2,2.0,58.36,0.0622,0.1333,0.0083,0.0667,185,11,0.0002,0.9971
GGOE700191,Google Charcoal Bucket Hat,Headgear,17.54,149,10,0,5,3,3.0,52.62,0.0671,0.3,0.0201,0.0,188,12,0.0002,0.9977
GGOE700182,Google Navy Cap,Headgear,23.93,82,7,2,2,2,2.0,47.86,0.0854,0.2857,0.0244,0.2857,192,13,0.0002,0.9983
GGOE700198,Google White Visor,Headgear,16.52,78,8,0,5,2,2.0,33.04,0.1026,0.25,0.0256,0.0,198,14,0.0001,0.999
GGOE700197,Google Navy Visor,Headgear,32.11,24,3,0,1,1,1.0,32.11,0.125,0.3333,0.0417,0.0,200,15,0.0001,0.9992
GGOE700185,Google Black Beanie,Headgear,27.22,29,3,1,1,1,1.0,27.22,0.1034,0.3333,0.0345,0.3333,203,16,0.0001,0.9995
GGOE700187,Google Navy Beanie,Headgear,14.17,43,7,0,2,1,1.0,14.17,0.1628,0.1429,0.0233,0.0,211,17,0.0,0.9999
GGOE700183,Google White Cap,Headgear,19.27,104,9,1,1,0,0.0,0.0,0.0865,0.0,0.0,0.1111,214,18,0.0,1.0
GGOE700189,Google Olive Beanie,Headgear,18.04,52,4,0,0,0,0.0,0.0,0.0769,0.0,0.0,0.0,214,18,0.0,1.0
GGOE700196,Google Charcoal Visor,Headgear,25.79,31,2,1,1,0,0.0,0.0,0.0645,0.0,0.0,0.5,214,18,0.0,1.0
GGOE100044,Google Olive Insulated Tumbler,Drinkware,26.31,7688,834,66,294,176,226.0,5946.06,0.1085,0.211,0.0229,0.0791,16,1,0.019,0.5039
GGOE100031,Google Charcoal Bottle Infuser,Drinkware,29.29,3373,368,32,135,75,83.0,2431.07,0.1091,0.2038,0.0222,0.087,35,2,0.0078,0.7368
GGOE100032,Google Navy Bottle Infuser,Drinkware,15.17,5327,578,27,205,115,136.0,2063.12,0.1085,0.199,0.0216,0.0467,38,3,0.0066,0.7576
GGOE100052,Google Navy Water Bottle,Drinkware,25.31,1971,218,14,79,45,58.0,1467.98,0.1106,0.2064,0.0228,0.0642,45,4,0.0047,0.7981
GGOE100030,Google Black Bottle Infuser,Drinkware,24.38,1567,178,8,68,32,37.0,902.06,0.1136,0.1798,0.0204,0.0449,69,5,0.0029,0.8871
GGOE100036,Google Charcoal Ceramic Mug,Drinkware,10.86,2233,260,17,99,61,73.0,792.78,0.1164,0.2346,0.0273,0.0654,74,6,0.0025,0.9004
GGOE100046,Google Charcoal Travel Mug,Drinkware,16.52,1279,144,7,48,26,30.0,495.6,0.1126,0.1806,0.0203,0.0486,90,7,0.0016,0.9301
GGOE100054,Google Olive Water Bottle,Drinkware,23.51,654,59,3,20,16,20.0,470.2,0.0902,0.2712,0.0245,0.0508,94,8,0.0015,0.9362
GGOE100034,Google Olive Bottle Infuser,Drinkware,18.33,975,105,5,31,16,19.0,348.27,0.1077,0.1524,0.0164,0.0476,107,9,0.0011,0.9526
GGOE100042,Google Navy Insulated Tumbler,Drinkware,23.41,446,49,4,17,9,11.0,257.51,0.1099,0.1837,0.0202,0.0816,123,10,0.0008,0.9677
GGOE100039,Google Olive Ceramic Mug,Drinkware,22.74,371,44,2,16,9,11.0,250.14,0.1186,0.2045,0.0243,0.0455,124,11,0.0008,0.9685
GGOE100053,Google White Water Bottle,Drinkware,22.63,353,40,2,13,8,10.0,226.3,0.1133,0.2,0.0227,0.05,134,12,0.0007,0.9761
GGOE100041,Google Charcoal Insulated Tumbler,Drinkware,26.32,468,41,4,13,8,8.0,210.56,0.0876,0.1951,0.0171,0.0976,138,13,0.0007,0.9789
GGOE100048,Google White Travel Mug,Drinkware,23.01,512,49,6,15,9,9.0,207.09,0.0957,0.1837,0.0176,0.1224,141,14,0.0007,0.9809
GGOE100037,Google Navy Ceramic Mug,Drinkware,18.47,273,25,3,8,7,10.0,184.7,0.0916,0.28,0.0256,0.12,145,15,0.0006,0.9833
GGOE100035,Google Black Ceramic Mug,Drinkware,12.17,484,48,5,15,10,11.0,133.87,0.0992,0.2083,0.0207,0.1042,155,16,0.0004,0.9885
GGOE100047,Google Navy Travel Mug,Drinkware,14.34,262,26,3,10,7,8.0,114.72,0.0992,0.2692,0.0267,0.1154,160,17,0.0004,0.9904
GGOE100043,Google White Insulated Tumbler,Drinkware,14.87,183,24,1,9,5,7.0,104.09,0.1311,0.2083,0.0273,0.0417,165,18,0.0003,0.9922
GGOE100045,Google Black Travel Mug,Drinkware,25.7,294,22,4,6,3,4.0,102.8,0.0748,0.1364,0.0102,0.1818,166,19,0.0003,0.9925
GGOE100033,Google White Bottle Infuser,Drinkware,16.15,313,35,3,11,5,5.0,80.75,0.1118,0.1429,0.016,0.0857,172,20,0.0003,0.9943
GGOE100038,Google White Ceramic Mug,Drinkware,12.99,178,15,1,7,4,4.0,51.96,0.0843,0.2667,0.0225,0.0667,189,21,0.0002,0.9978
GGOE100049,Google Olive Travel Mug,Drinkware,11.07,176,18,1,6,4,4.0,44.28,0.1023,0.2222,0.0227,0.0556,193,22,0.0001,0.9985
GGOE100050,Google Black Water Bottle,Drinkware,12.4,196,21,1,6,3,3.0,37.2,0.1071,0.1429,0.0153,0.0476,195,23,0.0001,0.9987
GGOE100040,Google Black Insulated Tumbler,Drinkware,17.62,176,20,1,8,2,2.0,35.24,0.1136,0.1,0.0114,0.05,196,24,0.0001,0.9988
GGOE100051,Google Charcoal Water Bottle,Drinkware,8.16,101,7,0,2,2,2.0,16.32,0.0693,0.2857,0.0198,0.0,208,25,0.0001,0.9998
